
collision handling type: L
Total collisions: 39
Total probes: 121
table capacity: 107
table rehash factor: 1.5
table rehash threshold: 0.7
table load factor: 0.66
map:
account number, first name, last name, account balance
[20922, [CHEQUING, MARIA, GUARDIA, 1740]]
[92318, [SAVING, PIERRE, DOLLARD, 1290]]
[31718, [CHEQUING, PHILLIP, LENNOX, 10]]
[00925, [SAVING, EMILIO, PEREZ, 675]]
[51728, [CREDIT, KIRK, DOUGLAS, 0]]
[58342, [CREDIT, MIKE, HEINZ, 100]]
[61326, [CHEQUING, HARRY, KUHN, 1750]]
[81514, [CREDIT, VICTORIA, HAL, 1300]]
[38421, [CHEQUING, PAUL, MORISSON, 5300]]
[91214, [SAVING, PATRICIA, COOK, 1420]]
[91316, [CHEQUING, LAWRENCE, COOK, 65000]]
[01823, [SAVING, PATRICK, JUSTICE, 560]]
[52853, [CREDIT, MICHAEL, BOONE, 1000]]
[43817, [CHEQUING, DIANE, PARTON, 35]]
[91412, [SAVING, DENNIS, MACLEAN, 95]]
[71854, [SAVING, ALI, MOHUMAD, 15000]]
[41911, [CREDIT, HAN, NGUYEN, 1280]]
[83530, [SAVING, HENRY, MACALLISTER, 845250]]
[31012, [CREDIT, MARK, ANTHONY, 0]]
[11528, [SAVING, NANCY, TROOPER, 1000]]
[61612, [CREDIT, MICHAEL, DALTON, 625]]
[16783, [CREDIT, JOHN, CONNAUGHT, 28000]]
[12421, [SAVING, VALERIE, PROULX, 1090]]
[39331, [CHEQUING, MARIO, TODARO, 10]]
[15307, [CHEQUING, MARY, HIGGINS, 50]]
[31820, [CHEQUING, GEORGE, CARLETON, 1900]]
[82411, [CREDIT, HELEN, MACINTOSH, 100]]
[81368, [CHEQUING, JOHN, MACRAE, 2350]]
[23033, [SAVING, JULIE, MACBAIN, 40000]]
[62080, [SAVING, PIETRO, SULA, 45]]
[83830, [SAVING, PIERRE, GALANT, 375]]
[42850, [SAVING, KELLY, HART, 345]]
[82465, [SAVING, MICHELLE, BENOIT, 17000]]
[01314, [SAVING, KENNY, ROGERS, 10500000]]
[72820, [CREDIT, CHANTAL, ROY, 50000]]
[21638, [CREDIT, MICHEL, RAE, 0]]
[73745, [SAVING, JACK, O'TOOLE, 75]]
[52726, [SAVING, MITCHELL, HACKETT, 38000]]
[21015, [CREDIT, JAMES, HAROLD, 125]]
[00812, [SAVING, VICTORIA, PORTER, 1620]]
[31215, [CREDIT, JACQUES, LAPIERRE, 2000]]
[13133, [CREDIT, GUY, LAROSE, 200]]
[21117, [CHEQUING, EDWARD, MANLEY, 85]]
[26734, [CHEQUING, EDITH, ROOSEVELT, 690]]
[91245, [CHEQUING, EDMOND, PRINCE, 3500]]
[61527, [CREDIT, JOHN, COHEN, 10000]]
[62023, [SAVING, DANIEL, ANDREWS, 180200]]
[60520, [CREDIT, PETER, NEWHART, 65]]
[52521, [CHEQUING, PAUL, HARVEY, 5200]]
[21219, [CREDIT, HENRY, MACDONALD, 535000]]
[32613, [SAVING, EVELYN, DOWNS, 1500]]
[10538, [SAVING, PETER, DUNCAN, 120000]]
[11314, [CREDIT, EDMOND, WHITE, 0]]
[42018, [CREDIT, MIKE, HINT, 980]]
[42520, [CHEQUING, NADIA, MARKS, 350]]
[12535, [SAVING, FARRAH, HILL, 0]]
[41024, [SAVING, EMILE, BOURGEOYS, 1005]]
[31816, [CHEQUING, DANIELLE, RAYMOND, 20500]]
[13331, [CHEQUING, DEAN, O'SULLIVAN, 1850]]
[92018, [CREDIT, DAVID, BROCK, 0]]
[22310, [SAVING, CLAUDIA, O'HARE, 20]]
[91312, [SAVING, KELLY, PRIEST, 2850]]
[60716, [CREDIT, SOFIA, CORDERI, 300]]
[01113, [CHEQUING, PIERRE, DESFORGES, 145]]
[92012, [CHEQUING, ALLAN, MARS, 25]]
[43018, [CHEQUING, JAMES, WALKER, 250]]
[91715, [CHEQUING, JUDITH, DAWSON, 65]]
[92716, [CREDIT, ANNA, GREGORY, 1345]]
[70321, [CREDIT, JACK, UNGER, 0]]
[43902, [SAVING, JAMES, KIRK, 1100]]
[41714, [CHEQUING, JULIE, HART, 1000]]

collision handling type: L
Total collisions: 49
Total probes: 137
table capacity: 163
table rehash factor: 1.5
table rehash threshold: 0.6499999999999999
table load factor: 0.44
map:
account number, first name, last name, account balance
[73745, [SAVING, JACK, O'TOOLE, 75]]
[23033, [SAVING, JULIE, MACBAIN, 40000]]
[83830, [SAVING, PIERRE, GALANT, 375]]
[42520, [CHEQUING, NADIA, MARKS, 350]]
[91245, [CHEQUING, EDMOND, PRINCE, 3500]]
[12535, [SAVING, FARRAH, HILL, 0]]
[11314, [CREDIT, EDMOND, WHITE, 0]]
[43018, [CHEQUING, JAMES, WALKER, 250]]
[21638, [CREDIT, MICHEL, RAE, 0]]
[91715, [CHEQUING, JUDITH, DAWSON, 65]]
[92716, [CREDIT, ANNA, GREGORY, 1345]]
[71854, [SAVING, ALI, MOHUMAD, 15000]]
[60716, [CREDIT, SOFIA, CORDERI, 300]]
[43902, [SAVING, JAMES, KIRK, 1100]]
[61326, [CHEQUING, HARRY, KUHN, 1750]]
[70321, [CREDIT, JACK, UNGER, 0]]
[39331, [CHEQUING, MARIO, TODARO, 10]]
[92318, [SAVING, PIERRE, DOLLARD, 1290]]
[61612, [CREDIT, MICHAEL, DALTON, 625]]
[52853, [CREDIT, MICHAEL, BOONE, 1000]]
[82411, [CREDIT, HELEN, MACINTOSH, 100]]
[62080, [SAVING, PIETRO, SULA, 45]]
[01314, [SAVING, KENNY, ROGERS, 10500000]]
[83530, [SAVING, HENRY, MACALLISTER, 845250]]
[91412, [SAVING, DENNIS, MACLEAN, 95]]
[01823, [SAVING, PATRICK, JUSTICE, 560]]
[10538, [SAVING, PETER, DUNCAN, 120000]]
[20922, [CHEQUING, MARIA, GUARDIA, 1740]]
[00812, [SAVING, VICTORIA, PORTER, 1620]]
[92012, [CHEQUING, ALLAN, MARS, 25]]
[52521, [CHEQUING, PAUL, HARVEY, 5200]]
[42850, [SAVING, KELLY, HART, 345]]
[91316, [CHEQUING, LAWRENCE, COOK, 65000]]
[38421, [CHEQUING, PAUL, MORISSON, 5300]]
[22310, [SAVING, CLAUDIA, O'HARE, 20]]
[81514, [CREDIT, VICTORIA, HAL, 1300]]
[92018, [CREDIT, DAVID, BROCK, 0]]
[01113, [CHEQUING, PIERRE, DESFORGES, 145]]
[31718, [CHEQUING, PHILLIP, LENNOX, 10]]
[31012, [CREDIT, MARK, ANTHONY, 0]]
